Name,Age,Position,Club Name,League Name,Market Value,Nationality,Profile URL
Sam Kersten,"Jan 30, 1998 (27)",Centre-Back,SC Heerenveen,Eredivisie,€1.00m,Netherlands,https://www.transfermarkt.com/sam-kersten/profil/spieler/430797
Hristiyan Petrov,"Jun 24, 2002 (23)",Centre-Back,SC Heerenveen,Eredivisie,€600k,Bulgaria,https://www.transfermarkt.com/hristiyan-petrov/profil/spieler/628042
Jordy de Wijs,"Jan 8, 1995 (30)",Centre-Back,SC Heerenveen,Eredivisie,€600k,Netherlands,https://www.transfermarkt.com/jordy-de-wijs/profil/spieler/215096
Mateja Milovanovic,"Apr 18, 2004 (21)",Centre-Back,SC Heerenveen,Eredivisie,€200k,Serbia / Netherlands,https://www.transfermarkt.com/mateja-milovanovic/profil/spieler/775242
Mats Köhlert,"May 2, 1998 (27)",Left-Back,SC Heerenveen,Eredivisie,€3.50m,Germany,https://www.transfermarkt.com/mats-kohlert/profil/spieler/288067
Robin Bouw,"Apr 24, 2006 (19)",Left-Back,SC Heerenveen,Eredivisie,-,Netherlands,https://www.transfermarkt.com/robin-bouw/profil/spieler/813077
Oliver Braude,"Feb 21, 2004 (21)",Right-Back,SC Heerenveen,Eredivisie,€4.00m,Norway,https://www.transfermarkt.com/oliver-braude/profil/spieler/869067
Denzel Hall,"May 22, 2001 (24)",Right-Back,SC Heerenveen,Eredivisie,€450k,Netherlands / Jamaica,https://www.transfermarkt.com/denzel-hall/profil/spieler/412949
Hussein Ali,"Mar 1, 2002 (23)",Right-Back,SC Heerenveen,Eredivisie,€300k,Iraq / Sweden,https://www.transfermarkt.com/hussein-ali/profil/spieler/585325
Marcus Linday,"Jun 2, 2003 (22)",Central Midfield,SC Heerenveen,Eredivisie,€4.00m,Sweden,https://www.transfermarkt.com/marcus-linday/profil/spieler/899163
Simon Olsson,"Sep 14, 1997 (27)",Central Midfield,SC Heerenveen,Eredivisie,€2.00m,Sweden,https://www.transfermarkt.com/simon-olsson/profil/spieler/321158
Espen van Ee,"Jul 5, 2003 (21)",Central Midfield,SC Heerenveen,Eredivisie,€1.30m,Netherlands,https://www.transfermarkt.com/espen-van-ee/profil/spieler/607144
Amara Condé,"Jan 6, 1997 (28)",Central Midfield,SC Heerenveen,Eredivisie,€600k,Germany / Guinea,https://www.transfermarkt.com/amara-conde/profil/spieler/207580
Isaiah Ahmed,"Dec 28, 2005 (19)",Central Midfield,SC Heerenveen,Eredivisie,€125k,Curacao / Netherlands,https://www.transfermarkt.com/isaiah-ahmed/profil/spieler/886252
Ties Oostra,"Jan 29, 2004 (21)",Central Midfield,SC Heerenveen,Eredivisie,€50k,Netherlands,https://www.transfermarkt.com/ties-oostra/profil/spieler/703822
Xavi Woudstra,"Jan 4, 2005 (20)",Central Midfield,SC Heerenveen,Eredivisie,-,Netherlands,https://www.transfermarkt.com/xavi-woudstra/profil/spieler/827710
Kai Jansen,"May 29, 2007 (18)",Central Midfield,SC Heerenveen,Eredivisie,-,Netherlands,https://www.transfermarkt.com/kai-jansen/profil/spieler/997479
Luuk Brouwers,"May 3, 1998 (27)",Attacking Midfield,SC Heerenveen,Eredivisie,€2.50m,Netherlands,https://www.transfermarkt.com/luuk-brouwers/profil/spieler/369552
